from_stop_id,to_stop_id,transfer_type,min_transfer_time
Q01_S,R23_S,0,
R23_S,Q01_S,0,
R16_S,127_S,0,
127_S,R16_S,0,
B23_N,B23_S,0,
B23_S,B23_N,0,
R14_N,R14_S,0,
R14_S,R14_N,0,
111_N,111_S,0,
111_S,111_N,0,
M09_N,M09_S,0,
M09_S,M09_N,0,
A53_N,A53_S,0,
A53_S,A53_N,0,
406_N,406_S,0,
406_S,406_N,0,
D10_N,D10_S,0,
D10_S,D10_N,0,
F26_N,F26_S,0,
F26_S,F26_N,0,
B08_S,629_S,0,300
629_S,B08_S,0,300
B08_S,R11_S,0,300
R11_S,B08_S,0,300
D12_S,D12_N,0,
D12_N,D12_S,0,
G19_N,G19_S,0,
G19_S,G19_N,0,
602_N,602_S,0,
602_S,602_N,0,
B08_N,629_N,0,300
629_N,B08_N,0,300
B08_N,R11_N,0,300
R11_N,B08_N,0,300
B08_N,B08_S,0,300
B08_S,B08_N,0,300
B08_N,629_S,0,300
629_S,B08_N,0,300
B08_N,R11_S,0,300
R11_S,B08_N,0,300
A49_N,A49_S,0,
A49_S,A49_N,0,
G14_N,G14_S,0,
G14_S,G14_N,0,
A31_S,L01,0,
L01,A31_S,0,
J23_N,J23_S,0,
J23_S,J23_N,0,
A33_N,A33_S,0,
A33_S,A33_N,0,
255_N,255_S,0,
255_S,255_N,0,
253_N,253_S,0,
253_S,253_N,0,
A31_N,A31_S,0,
A31_S,A31_N,0,
A31_N,L01,0,
L01,A31_N,0,
B21_N,B21_S,0,
B21_S,B21_N,0,
G12_N,G12_S,0,
G12_S,G12_N,0,
D34_N,D34_S,0,
D34_S,D34_N,0,
408_N,408_S,0,
408_S,408_N,0,
608_N,608_S,0,
608_S,608_N,0,
A54_N,A54_S,0,
A54_S,A54_N,0,
G33_N,G33_S,0,
G33_S,G33_N,0,
G10_N,G10_S,0,
G10_S,G10_N,0,
J29_N,J29_S,0,
J29_S,J29_N,0,
D38_N,D38_S,0,
D38_S,D38_N,0,
402_N,402_S,0,
402_S,402_N,0,
L03_S,R20_S,0,
R20_S,L03_S,0,
231_N,231_S,0,
231_S,231_N,0,
L03_N,R20_N,0,
R20_N,L03_N,0,
L03_N,635_S,0,
635_S,L03_N,0,
L03_N,R20_S,0,
R20_S,L03_N,0,
L03_N,L03_S,0,
L03_S,L03_N,0,
214_N,214_S,0,
214_S,214_N,0,
A50_N,A50_S,0,
A50_S,A50_N,0,
F02_N,F02_S,0,
F02_S,F02_N,0,
235_S,D24_S,0,
D24_S,235_S,0,
235_S,R31_S,0,
R31_S,235_S,0,
A15_N,A15_S,0,
A15_S,A15_N,0,
F04_N,F04_S,0,
F04_S,F04_N,0,
F29_N,F29_S,0,
F29_S,F29_N,0,
235_N,D24_N,0,
D24_N,235_N,0,
235_N,R31_N,0,
R31_N,235_N,0,
235_N,235_S,0,
235_S,235_N,0,
235_N,D24_S,0,
D24_S,235_N,0,
235_N,R31_S,0,
R31_S,235_N,0,
A17_N,A17_S,0,
A17_S,A17_N,0,
251_N,251_S,0,
251_S,251_N,0,
212_N,212_S,0,
212_S,212_N,0,
420_N,420_S,0,
420_S,420_N,0,
D32_N,D32_S,0,
D32_S,D32_N,0,
D30_N,D30_S,0,
D30_S,D30_N,0,
A11_N,A11_S,0,
A11_S,A11_N,0,
210_N,210_S,0,
210_S,210_N,0,
D15_N,D15_S,0,
D15_S,D15_N,0,
R42_N,R42_S,0,
R42_S,R42_N,0,
123_N,123_S,0,
123_S,123_N,0,
D17_S,R17_N,0,
R17_N,D17_S,0,
D17_S,R17_S,0,
R17_S,D17_S,0,
D17_S,R17_N,0,
R17_N,D17_S,0,
F09_N,719_S,0,
719_S,F09_N,0,
F09_N,G22_S,0,
G22_S,F09_N,0,
F09_N,F09_S,0,
F09_S,F09_N,0,
M10_N,M10_S,0,
M10_S,M10_N,0,
D17_N,R17_N,0,
R17_N,D17_N,0,
D17_N,R17_S,0,
R17_S,D17_N,0,
H13_N,H13_S,0,
H13_S,H13_N,0,
A59_N,A59_S,0,
A59_S,A59_N,0,
M12_N,M12_S,0,
M12_S,M12_N,0,
502_N,502_S,0,
502_S,502_N,0,
239_S,S01,0,
S01,239_S,0,
F27_N,F27_S,0,
F27_S,F27_N,0,
A52_N,A52_S,0,
A52_S,A52_N,0,
706_N,706_S,0,
706_S,706_N,0,
237_N,238_S,0,
238_S,237_N,0,
708_N,708_S,0,
708_S,708_N,0,
N07_N,N07_S,0,
N07_S,N07_N,0,
F06_N,F06_S,0,
F06_S,F06_N,0,
239_N,239_S,0,
239_S,239_N,0,
239_N,S01,0,
S01,239_N,0,
127_N,725,0,
725,127_N,0,
127_N,902,0,
902,127_N,0,
127_N,R16_N,0,
R16_N,127_N,0,
127_N,127_S,0,
127_S,127_N,0,
127_N,R16_S,0,
R16_S,127_N,0,
218_N,218_S,0,
218_S,218_N,0,
J24_N,J24_S,0,
J24_S,J24_N,0,
D13_S,D13_N,0,
D13_N,D13_S,0,
D11_S,D11_N,0,
D11_N,D11_S,0,
A18_N,A18_S,0,
A18_S,A18_N,0,
R28_N,232_S,0,
232_S,R28_N,0,
R28_N,423_S,0,
423_S,R28_N,0,
R28_N,R28_S,0,
R28_S,R28_N,0,
124_N,124_S,0,
124_S,124_N,0,
109_N,109_S,0,
109_S,109_N,0,
639_N,Q01_N,0,
Q01_N,639_N,0,
639_N,M20_N,0,
M20_N,639_N,0,
639_N,R23_N,0,
R23_N,639_N,0,
639_N,639_S,0,
639_S,639_N,0,
639_N,Q01_S,0,
Q01_S,639_N,0,
639_N,M20_S,0,
M20_S,639_N,0,
639_N,R23_S,0,
R23_S,639_N,0,
M21_S,M21_N,0,
M21_N,M21_S,0,
256_N,256_S,0,
256_S,256_N,0,
254_S,L26_S,3,
L26_S,254_S,3,
254_S,L26_N,3,
L26_N,254_S,3,
R30_N,R30_S,0,
R30_S,R30_N,0,
254_N,254_S,0,
254_S,254_N,0,
254_N,L26_S,3,
L26_S,254_N,3,
254_N,L26_N,3,
L26_N,254_N,3,
639_S,Q01_S,0,
Q01_S,639_S,0,
639_S,M20_S,0,
M20_S,639_S,0,
639_S,R23_S,0,
R23_S,639_S,0,
M18_N,M18_S,0,
M18_S,M18_N,0,
252_N,252_S,0,
252_S,252_N,0,
B16_S,N04_S,0,
N04_S,B16_S,0,
B16_S,N04_N,0,
N04_N,B16_S,0,
B10_N,B10_S,0,
B10_S,B10_N,0,
635_N,L03_N,0,
L03_N,635_N,0,
635_N,R20_N,0,
R20_N,635_N,0,
635_N,635_S,0,
635_S,635_N,0,
635_N,L03_S,0,
L03_S,635_N,0,
635_N,R20_S,0,
R20_S,635_N,0,
637_S,D21_N,0,
D21_N,637_S,0,
637_S,D21_S,0,
D21_S,637_S,0,
635_S,L03_S,0,
L03_S,635_S,0,
635_S,R20_S,0,
R20_S,635_S,0,
637_N,D21_N,3,
D21_N,637_N,3,
637_N,D21_S,3,
D21_S,637_N,3,
R05_N,R05_S,0,
R05_S,R05_N,0,
250_N,250_S,0,
250_S,250_N,0,
B16_N,B16_S,0,
B16_S,B16_N,0,
B16_N,N04_S,0,
N04_S,B16_N,0,
B16_N,N04_N,0,
N04_N,B16_N,0,
M14_N,M14_S,0,
M14_S,M14_N,0,
D37_N,D37_S,0,
D37_S,D37_N,0,
D19_N,132_S,0,200
132_S,D19_N,0,200
D19_N,L02_S,0,
L02_S,D19_N,0,
D19_N,D19_S,0,
D19_S,D19_N,0,
D19_N,D19_S,0,
D19_S,D19_N,0,
504_N,504_S,0,
504_S,504_N,0,
D35_N,D35_S,0,
D35_S,D35_N,0,
128_N,128_S,0,
128_S,128_N,0,
702_N,702_S,0,
702_S,702_N,0,
D39_N,D39_S,0,
D39_S,D39_N,0,
413_N,413_S,0,
413_S,413_N,0,
613_N,613_S,0,
613_S,613_N,0,
R20_N,635_S,0,
635_S,R20_N,0,
R20_N,L03_S,0,
L03_S,R20_N,0,
R20_N,R20_S,0,
R20_S,R20_N,0,
230_N,230_S,0,
230_S,230_N,0,
232_S,423_S,0,
423_S,232_S,0,
232_S,R28_S,0,
R28_S,232_S,0,
415_N,415_S,0,
415_S,415_N,0,
232_N,423_N,0,
423_N,232_N,0,
232_N,R28_N,0,
R28_N,232_N,0,
232_N,232_S,0,
232_S,232_N,0,
232_N,423_S,0,
423_S,232_N,0,
232_N,R28_S,0,
R28_S,232_N,0,
611_N,611_S,0,
611_S,611_N,0,
234_N,234_S,0,
234_S,234_N,0,
B19_N,B19_S,0,
B19_S,B19_N,0,
R24_N,R24_S,0,
R24_S,R24_N,0,
631_N,631_S,0,
631_S,631_N,0,
631_N,901,0,
901,631_N,0,
B14_N,B14_S,0,
B14_S,B14_N,0,
D33_N,D33_S,0,
D33_S,D33_N,0,
631_S,901,0,
901,631_S,0,
213_N,213_S,0,
213_S,213_N,0,
211_N,211_S,0,
211_S,211_N,0,
D31_N,D31_S,0,
D31_S,D31_N,0,
R03_N,R03_S,0,
R03_S,R03_N,0,
H12_N,H12_S,0,
H12_S,H12_N,0,
G26_N,G26_S,0,
G26_S,G26_N,0,
R43_N,R43_S,0,
R43_S,R43_N,0,
640,M21_N,0,
M21_N,640,0,
640,M21_S,0,
M21_S,640,0,
407_N,407_S,0,
407_S,407_N,0,
M11_N,M11_S,0,
M11_S,M11_N,0,
G24_N,G24_S,0,
G24_S,G24_N,0,
503_N,503_S,0,
503_S,503_N,0,
M13_N,M13_S,0,
M13_S,M13_N,0,
A24_N,A24_S,0,
A24_S,A24_N,0,
411_N,411_S,0,
411_S,411_N,0,
238_N,238_S,0,
238_S,238_N,0,
705_N,705_S,0,
705_S,705_N,0,
G22_N,F09_N,0,
F09_N,G22_N,0,
G22_N,719_S,0,
719_S,G22_N,0,
G22_N,F09_S,0,
F09_S,G22_N,0,
G22_N,G22_S,0,
G22_S,G22_N,0,
619_N,619_S,0,
619_S,619_N,0,
N04_N,N04_S,0,
N04_S,N04_N,0,
B13_N,B13_S,0,
B13_S,B13_N,0,
707_N,707_S,0,
707_S,707_N,0,
R44_N,R44_S,0,
R44_S,R44_N,0,
419_N,419_S,0,
419_S,419_N,0,
709_N,709_S,0,
709_S,709_N,0,
N06_N,N06_S,0,
N06_S,N06_N,0,
120_N,120_S,0,
120_S,120_N,0,
L26_N,L26_S,0,
L26_S,L26_N,0,
M20_S,R23_S,0,
R23_S,M20_S,0,
125_S,A24_N,0,
A24_N,125_S,0,
125_S,A24_S,0,
A24_S,125_S,0,
F33_N,F33_S,0,
F33_S,F33_N,0,
R29_N,R29_S,0,
R29_S,R29_N,0,
125_N,125_S,0,
125_S,125_N,0,
125_N,A24_N,0,
A24_N,125_N,0,
125_N,A24_S,0,
A24_S,125_N,0,
M20_N,R23_N,0,
R23_N,M20_N,0,
M20_N,639_S,0,
639_S,M20_N,0,
M20_N,Q01_S,0,
Q01_S,M20_N,0,
M20_N,R23_S,0,
R23_S,M20_N,0,
M20_N,M20_S,0,
M20_S,M20_N,0,
M22_N,A38_N,0,
A38_N,M22_N,0,
M22_N,418_N,0,
418_N,M22_N,0,
M22_N,229_S,0,
229_S,M22_N,0,
M22_N,M22_S,0,
M22_S,M22_N,0,
M22_N,A38_S,0,
A38_S,M22_N,0,
M22_N,418_S,0,
418_S,M22_N,0,
M22_N,M22_S,0,
M22_S,M22_N,0,
R41_N,R41_S,0,
R41_S,R41_N,0,
R08_N,R08_S,0,
R08_S,R08_N,0,
J12_N,J12_S,0,
J12_S,J12_N,0,
B17_N,B17_S,0,
B17_S,B17_N,0,
H10_N,H10_S,0,
H10_S,H10_N,0,
M22_S,A38_S,0,
A38_S,M22_S,0,
M22_S,418_S,0,
418_S,M22_S,0,
L16_N,L16_S,0,
L16_S,L16_N,0,
L27_N,L27_S,0,
L27_S,L27_N,0,
G07_N,G07_S,0,
G07_S,G07_N,0,
L21_N,L21_S,0,
L21_S,L21_N,0,
G09_N,G09_S,0,
G09_S,G09_N,0,
G28_N,G28_S,0,
G28_S,G28_N,0,
J30_N,J30_S,0,
J30_S,J30_N,0,
A20_N,A20_S,0,
A20_S,A20_N,0,
505_N,505_S,0,
505_S,505_N,0,
F31_N,F31_S,0,
F31_S,F31_N,0,
D41_N,D41_S,0,
D41_S,D41_N,0,
A22_N,A22_S,0,
A22_S,A22_N,0,
R27_N,R27_S,0,
R27_S,R27_N,0,
414_S,D11_N,0,
D11_N,414_S,0,
414_S,D11_S,0,
D11_S,414_S,0,
F34_N,F34_S,0,
F34_S,F34_N,0,
A45_N,A45_S,0,
A45_S,A45_N,0,
A45_N,S01,0,
S01,A45_N,0,
610_N,610_S,0,
610_S,610_N,0,
412_N,412_S,0,
412_S,412_N,0,
B18_N,B18_S,0,
B18_S,B18_N,0,
D20_S,D20_N,0,
D20_N,D20_S,0,
414_N,414_S,0,
414_S,414_N,0,
414_N,D11_N,0,
D11_N,414_N,0,
414_N,D11_S,0,
D11_S,414_N,0,
A45_S,S01,0,
S01,A45_S,0,
D22_N,D22_S,0,
D22_S,D22_N,0,
416_N,416_S,0,
416_S,416_N,0,
A07_N,A07_S,0,
A07_S,A07_N,0,
D08_N,D08_S,0,
D08_S,D08_N,0,
D06_N,D06_S,0,
D06_S,D06_N,0,
J16_N,J16_S,0,
J16_S,J16_N,0,
B15_N,B15_S,0,
B15_S,B15_N,0,
630_N,630_S,0,
630_S,630_N,0,
630_N,F11_N,0,
F11_N,630_N,0,
630_N,F11_S,0,
F11_S,630_N,0,
R04_N,R04_S,0,
R04_S,R04_N,0,
R06_N,R06_S,0,
R06_S,R06_N,0,
630_S,F11_N,0,
F11_N,630_S,0,
630_S,F11_S,0,
F11_S,630_S,0,
D04_N,D04_S,0,
D04_S,D04_N,0,
J14_N,J14_S,0,
J14_S,J14_N,0,
L10_N,L10_S,0,
L10_S,L10_N,0,
F38_N,F38_S,0,
F38_S,F38_N,0,
242_N,242_S,0,
242_S,242_N,0,
L25_N,L25_S,0,
L25_S,L25_N,0,
R23_N,639_S,0,
639_S,R23_N,0,
R23_N,Q01_S,0,
Q01_S,R23_N,0,
R23_N,M20_S,0,
M20_S,R23_N,0,
R23_N,R23_S,0,
R23_S,R23_N,0,
L14_N,L14_S,0,
L14_S,L14_N,0,
241_N,241_S,0,
241_S,241_N,0,
N05_N,N05_S,0,
N05_S,N05_N,0,
208_N,208_S,0,
208_S,208_N,0,
D24_S,R31_S,0,
R31_S,D24_S,0,
D24_N,R31_N,0,
R31_N,D24_N,0,
D24_N,235_S,0,
235_S,D24_N,0,
D24_N,D24_S,0,
D24_S,D24_N,0,
D24_N,R31_S,0,
R31_S,D24_N,0,
410_N,410_S,0,
410_S,410_N,0,
204_N,204_S,0,
204_S,204_N,0,
612_N,612_S,0,
612_S,612_N,0,
206_N,206_S,0,
206_S,206_N,0,
A61_N,A61_S,0,
A61_S,A61_N,0,
G06_N,G06_S,0,
G06_S,G06_N,0,
D26_N,D26_N,0,
D26_N,D26_N,0,
D28_N,D28_S,0,
D28_S,D28_N,0,
B12_N,B12_S,0,
B12_S,B12_N,0,
249_N,249_S,0,
249_S,249_N,0,
R09_N,R09_S,0,
R09_S,R09_N,0,
A48_N,A48_S,0,
A48_S,A48_N,0,
A05_N,A05_S,0,
A05_S,A05_N,0,
F12_N,F12_S,0,
F12_S,F12_N,0,
228_N,E01_N,0,
E01_N,228_N,0,
228_N,A36_N,0,
A36_N,228_N,0,
228_N,228_S,0,
228_S,228_N,0,
228_N,E01_S,0,
E01_S,228_N,0,
228_N,A36_S,0,
A36_S,228_N,0,
418_N,229_S,0,
229_S,418_N,0,
418_N,M22_S,0,
M22_S,418_N,0,
418_N,A38_S,0,
A38_S,418_N,0,
418_N,418_S,0,
418_S,418_N,0,
418_N,418_S,0,
418_S,418_N,0,
A19_N,A19_S,0,
A19_S,A19_N,0,
G21_N,G21_S,0,
G21_S,G21_N,0,
228_S,E01_S,0,
E01_S,228_S,0,
228_S,A36_S,0,
A36_S,228_S,0,
716_N,716_S,0,
716_S,716_N,0,
D40_N,D40_S,0,
D40_S,D40_N,0,
F32_N,F32_S,0,
F32_S,F32_N,0,
L28_N,L28_S,0,
L28_S,L28_N,0,
D03_N,D03_S,0,
D03_S,D03_N,0,
714_N,714_S,0,
714_S,714_N,0,
A42_N,A42_S,0,
A42_S,A42_N,0,
J13_N,J13_S,0,
J13_S,J13_N,0,
A03_N,A03_S,0,
A03_S,A03_N,0,
718_S,R09_N,0,
R09_N,718_S,0,
718_S,R09_S,0,
R09_S,718_S,0,
718_N,718_S,0,
718_S,718_N,0,
718_N,R09_N,0,
R09_N,718_N,0,
718_N,R09_S,0,
R09_S,718_N,0,
J19_N,J19_S,0,
J19_S,J19_N,0,
G08_N,G08_S,0,
G08_S,G08_N,0,
L15_N,L15_S,0,
L15_S,L15_N,0,
L20_N,L20_S,0,
L20_S,L20_N,0,
A63_N,A63_S,0,
A63_S,A63_N,0,
L17_N,L17_S,0,
L17_S,L17_N,0,
N09_N,N09_S,0,
N09_S,N09_N,0,
A21_N,A21_S,0,
A21_S,A21_N,0,
227_N,227_S,0,
227_S,227_N,0,
L22_N,J27_N,0,
J27_N,L22_N,0,
L22_N,A51_S,0,
A51_S,L22_N,0,
L22_N,J27_S,0,
J27_S,L22_N,0,
L22_N,L22_S,0,
L22_S,L22_N,0,
G29_S,L10_N,0,
L10_N,G29_S,0,
G29_S,L10_S,0,
L10_S,G29_S,0,
F36_N,F36_S,0,
F36_S,F36_N,0,
L19_N,L19_S,0,
L19_S,L19_N,0,
D42_N,D42_S,0,
D42_S,D42_N,0,
F30_N,F30_S,0,
F30_S,F30_N,0,
G29_N,G29_S,0,
G29_S,G29_N,0,
G29_N,L10_N,0,
L10_N,G29_N,0,
G29_N,L10_S,0,
L10_S,G29_N,0,
L22_S,J27_S,0,
J27_S,L22_S,0,
J31_N,J31_S,0,
J31_S,J31_N,0,
N10_N,N10_S,0,
N10_S,N10_N,0,
721_N,721_S,0,
721_S,721_N,0,
F18_N,F18_S,0,
F18_S,F18_N,0,
712_N,712_S,0,
